town,county,office,district,party,candidate,winner,votes
Albany,Carroll,U.S. House,1,R,Frank C. Guinta,True,58
Alton,Belknap,U.S. House,1,R,Frank C. Guinta,True,718
Auburn,Rockingham,U.S. House,1,R,Frank C. Guinta,True,585
Barnstead,Belknap,U.S. House,1,R,Frank C. Guinta,True,394
Barrington,Strafford,U.S. House,1,R,Frank C. Guinta,True,557
Bartlett,Carroll,U.S. House,1,R,Frank C. Guinta,True,267
Bedford,Hillsborough,U.S. House,1,R,Frank C. Guinta,True,2576
Belmont,Belknap,U.S. House,1,R,Frank C. Guinta,True,505
Brentwood,Rockingham,U.S. House,1,R,Frank C. Guinta,True,332
Brookfield,Carroll,U.S. House,1,R,Frank C. Guinta,True,93
Campton,Grafton,U.S. House,1,R,Frank C. Guinta,True,214
Candia,Rockingham,U.S. House,1,R,Frank C. Guinta,True,483
Chatham,Carroll,U.S. House,1,R,Frank C. Guinta,True,33
Chester,Rockingham,U.S. House,1,R,Frank C. Guinta,True,453
Conway,Carroll,U.S. House,1,R,Frank C. Guinta,True,584
Danville,Rockingham,U.S. House,1,R,Frank C. Guinta,True,333
Derry,Rockingham,U.S. House,1,R,Frank C. Guinta,True,1634
Dover,Strafford,U.S. House,1,R,Frank C. Guinta,True,1317
Durham,Strafford,U.S. House,1,R,Frank C. Guinta,True,275
East Kingston,Rockingham,U.S. House,1,R,Frank C. Guinta,True,276
Eaton,Carroll,U.S. House,1,R,Frank C. Guinta,True,66
Effingham,Carroll,U.S. House,1,R,Frank C. Guinta,True,126
Epping,Rockingham,U.S. House,1,R,Frank C. Guinta,True,333
Exeter,Rockingham,U.S. House,1,R,Frank C. Guinta,True,926
Farmington,Strafford,U.S. House,1,R,Frank C. Guinta,True,320
Freedom,Carroll,U.S. House,1,R,Frank C. Guinta,True,195
Fremont,Rockingham,U.S. House,1,R,Frank C. Guinta,True,377
Gilford,Belknap,U.S. House,1,R,Frank C. Guinta,True,944
Gilmanton,Belknap,U.S. House,1,R,Frank C. Guinta,True,372
Goffstown,Hillsborough,U.S. House,1,R,Frank C. Guinta,True,1529
Greenland,Rockingham,U.S. House,1,R,Frank C. Guinta,True,269
Hale's Location,Carroll,U.S. House,1,R,Frank C. Guinta,True,65
Hampstead,Rockingham,U.S. House,1,R,Frank C. Guinta,True,780
Hampton,Rockingham,U.S. House,1,R,Frank C. Guinta,True,1024
