town,county,office,district,party,candidate,winner,votes
Albany,Carroll,U.S. House,1,R,Frank C. Guinta,False,0
Alton,Belknap,U.S. House,1,R,Frank C. Guinta,False,0
Auburn,Rockingham,U.S. House,1,R,Frank C. Guinta,False,2
Barnstead,Belknap,U.S. House,1,R,Frank C. Guinta,False,1
Barrington,Strafford,U.S. House,1,R,Frank C. Guinta,False,2
Bartlett,Carroll,U.S. House,1,R,Frank C. Guinta,False,0
Bedford,Hillsborough,U.S. House,1,R,Frank C. Guinta,False,1
Belmont,Belknap,U.S. House,1,R,Frank C. Guinta,False,1
Brentwood,Rockingham,U.S. House,1,R,Frank C. Guinta,False,0
Brookfield,Carroll,U.S. House,1,R,Frank C. Guinta,False,0
Campton,Grafton,U.S. House,1,R,Frank C. Guinta,False,0
Candia,Rockingham,U.S. House,1,R,Frank C. Guinta,False,0
Chatham,Carroll,U.S. House,1,R,Frank C. Guinta,False,0
Chester,Rockingham,U.S. House,1,R,Frank C. Guinta,False,0
Conway,Carroll,U.S. House,1,R,Frank C. Guinta,False,0
Danville,Rockingham,U.S. House,1,R,Frank C. Guinta,False,0
Derry,Rockingham,U.S. House,1,R,Frank C. Guinta,False,0
Dover,Strafford,U.S. House,1,R,Frank C. Guinta,False,10
Durham,Strafford,U.S. House,1,R,Frank C. Guinta,False,3
East Kingston,Rockingham,U.S. House,1,R,Frank C. Guinta,False,2
Eaton,Carroll,U.S. House,1,R,Frank C. Guinta,False,0
Effingham,Carroll,U.S. House,1,R,Frank C. Guinta,False,0
Epping,Rockingham,U.S. House,1,R,Frank C. Guinta,False,0
Exeter,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1
Farmington,Strafford,U.S. House,1,R,Frank C. Guinta,False,4
Freedom,Carroll,U.S. House,1,R,Frank C. Guinta,False,0
Fremont,Rockingham,U.S. House,1,R,Frank C. Guinta,False,0
Gilford,Belknap,U.S. House,1,R,Frank C. Guinta,False,2
Gilmanton,Belknap,U.S. House,1,R,Frank C. Guinta,False,0
Goffstown,Hillsborough,U.S. House,1,R,Frank C. Guinta,False,5
Greenland,Rockingham,U.S. House,1,R,Frank C. Guinta,False,0
Hale's Location,Carroll,U.S. House,1,R,Frank C. Guinta,False,0
Hampstead,Rockingham,U.S. House,1,R,Frank C. Guinta,False,3
Hampton,Rockingham,U.S. House,1,R,Frank C. Guinta,False,3
Hampton Falls,Rockingham,U.S. House,1,R,Frank C. Guinta,False,0
Hart's Location,Carroll,U.S. House,1,R,Frank C. Guinta,False,0
Hooksett,Merrimack,U.S. House,1,R,Frank C. Guinta,False,2
Jackson,Carroll,U.S. House,1,R,Frank C. Guinta,False,2
Kensington,Rockingham,U.S. House,1,R,Frank C. Guinta,False,0
Kingston,Rockingham,U.S. House,1,R,Frank C. Guinta,False,0
Laconia,Belknap,U.S. House,1,R,Frank C. Guinta,False,6
Lee,Strafford,U.S. House,1,R,Frank C. Guinta,False,2
